Chevrolet,5079
Toyota,4598
Ford,4416
BMW,4121
Nissan,3881
Audi,3131
Mercedes-Benz,3097
Honda,2675
Kia,2160
Lexus,2125
Hyundai,2091
GMC,2067
Volkswagen,1752
Subaru,1605
Mazda,1475
Dodge,1345
Porsche,1344
Lincoln,1324
Cadillac,1311
Volvo,1231
Jeep,1196
Acura,1174
Jaguar,1062
MINI,1059
Buick,964
Land Rover,960
INFINITI,917
FIAT,892
Ram,747
Bentley,697
Mitsubishi,644
Aston Martin,574
Chrysler,570
Maserati,449
smart,386
Alfa Romeo,290
Rolls-Royce,277
Lamborghini,251
Tesla,191
Genesis,176
Ferrari,91
McLaren,72
