MINI - Cooper,539
Ford - Ranger,504
Ford - F-150,485
Honda - Civic,480
Chevrolet - Colorado,479
BMW - 6-Series,471
FIAT - 500,468
GMC - Sierra 1500,453
Porsche - 911,451
BMW - 3-Series,448
Ram - 1500,432
Ford - Mustang,426
Volkswagen - Beetle,423
Chevrolet - Camaro,419
Hyundai - Sonata,419
Toyota - Tundra,418
Mercedes-Benz - C Class,412
GMC - Yukon,411
Mercedes-Benz - E Class,411
Chevrolet - Silverado 1500,409
Volkswagen - Golf,405
Chevrolet - Silverado 2500HD,405
Chevrolet - Corvette,398
Honda - Accord,397
BMW - 5-Series,391
Ford - Super Duty F-250,386
Toyota - Tacoma,386
smart - fortwo,386
Mazda - MX-5 Miata,382
Ford - Fiesta,379
Toyota - Highlander,378
Dodge - Charger,376
GMC - Sierra 2500HD,375
Mercedes-Benz - S Class,374
Cadillac - CTS,372
Toyota - Prius,368
Toyota - Yaris,364
Nissan - Titan,362
Nissan - 370Z,361
Hyundai - Elantra,360
Audi - A5,353
Audi - R8,353
BMW - X6,351
Jeep - Wrangler,350
Audi - A3,350
Toyota - Corolla,350
Nissan - Leaf,345
Chrysler - 300,344
Audi - TT,342
Toyota - RAV4,339
Toyota - Camry,338
Ford - Fusion,338
Dodge - Challenger,338
Cadillac - Escalade,333
Volvo - XC90,332
Bentley - Continental GT,329
Toyota - Sienna,329
BMW - 2-Series,328
Audi - A4,325
Nissan - Versa,323
Lexus - IS,323
Lincoln - MKZ,322
GMC - Canyon,322
Jaguar - XF,320
Mazda - MAZDA3,317
Ram - 2500,315
Kia - Optima,313
Kia - Rio,313
MINI - Cooper Countryman,311
Ford - Explorer,311
Chevrolet - Traverse,310
BMW - 7-Series,309
Ford - Expedition,305
Jeep - Grand Cherokee,301
BMW - X3,299
Porsche - Cayenne,298
Volvo - S60,298
Volkswagen - Jetta,298
Kia - Forte,297
Nissan - Murano,296
Lexus - GS,294
Acura - MDX,293
BMW - 4-Series,292
Nissan - GT-R,289
Subaru - Legacy,289
Volkswagen - Passat,287
Hyundai - Accent,286
Ford - Taurus,285
Hyundai - Santa Fe,285
Ford - Edge,284
Chevrolet - Suburban,283
Lincoln - Navigator,280
BMW - Z4,279
Nissan - Maxima,279
Audi - A7,279
Lexus - ES,278
Ford - Escape,275
Honda - Fit,275
Toyota - Sequoia,274
Chevrolet - Sonic,274
Toyota - Avalon,269
Aston Martin - Vantage,269
Chevrolet - Malibu,268
GMC - Terrain,268
Land Rover - Range Rover,268
Honda - Pilot,267
Lexus - RX,266
Mercedes-Benz - SL Class,265
Chevrolet - Tahoe,262
Honda - Ridgeline,259
Kia - Soul,259
Nissan - Pathfinder,259
Nissan - Frontier,258
Audi - A6,258
Honda - CR-V,258
Nissan - Rogue,257
Subaru - WRX,255
Mazda - MAZDA6,254
Chevrolet - Equinox,254
Mercedes-Benz - CLS Class,252
Buick - Regal,250
Audi - Q5,250
Mitsubishi - Outlander,248
Mercedes-Benz - G Class,247
Hyundai - Tucson,247
Honda - Insight,247
Ford - Flex,245
INFINITI - Q50,243
Nissan - Sentra,242
Honda - Odyssey,242
GMC - Acadia,238
BMW - X5,238
Dodge - Durango,231
Chevrolet - Cruze,231
Land Rover - Range Rover Sport,229
Toyota - 4Runner,227
Subaru - Outback,226
Chrysler - Pacifica,226
Hyundai - Veloster,226
Nissan - Armada,226
Cadillac - ATS,224
Subaru - Crosstrek,224
Audi - A8,222
Porsche - Panamera,221
Mazda - CX-5,218
Subaru - Impreza,218
Buick - Lacrosse,216
Lexus - LS,216
Buick - Enclave,214
Chevrolet - Volt,213
Lexus - LX,212
Mercedes-Benz - GLE Class,211
Acura - NSX,210
MINI - Clubman,209
Jaguar - XJ,206
Maserati - GranTurismo,205
Mercedes-Benz - GLC Class,204
Volkswagen - Tiguan,204
Mitsubishi - Outlander Sport,204
Dodge - Journey,203
Nissan - Altima,201
Jeep - Compass,200
Dodge - Grand Caravan,197
Jaguar - F-Type,195
Chevrolet - Impala,195
Volvo - XC60,191
Land Rover - Range Rover Evoque,190
Acura - RDX,188
Subaru - Forester,187
Lexus - RC,186
Jeep - Cherokee,184
Kia - Sportage,184
Kia - Sorento,184
Acura - RLX,182
Lamborghini - Huracan,181
Kia - Sedona,181
INFINITI - Q60,177
Acura - ILX,176
BMW - X4,175
Bentley - Flying Spur,173
Lincoln - MKT,172
Chevrolet - Spark,170
Porsche - Macan,170
Toyota - Land Cruiser,170
